;Unnamed: 0;Compound's ID;CanonicalSmile;Target's bound names;Target's bound's uniprot;Test name;Activity type;Activity;Molecular weight;ALogP;Number of H-bond donor;Number of H-bond acceptor;Topological surface area;Number of rotatable bond;Number of aromatic ring;Number of Carbon sp3 / Number of Carbon;Number of chiral centers;Ligand efficiency;Lipophilic efficiency;Biblio
0;0;1603;CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12;BRD4;O60885;Fluorescence Polarization;pIC50;6.2;423.15;1.76;1;7;81.4;5;3;0.27;1;0.28;4.44;21964340
1;1;1604;COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;6.1;415.16;2.69;1;8;93.38;3;5;0.22;1;0.27;3.41;21964340
2;2;1605;CC(=O)c1cc(-c2ccccn2)c2ccccn12;BRD4;O60885;Fluorescence Polarization;pIC50;5.0;236.09;1.9;0;3;34.37;2;3;0.07;0;0.38;3.1;22136404
3;3;1606;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.7;306.1;2.12;1;5;72.2;3;2;0.4;0;0.37;3.58;22136469
4;4;1607;COc1ccc(cc1S(=O)(=O)NC1CC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.5;322.1;1.45;1;6;81.43;4;2;0.4;0;0.34;4.05;22136469
5;5;1608;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CCCC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.8;334.14;3.01;1;5;72.2;3;2;0.47;0;0.35;2.79;22136469
6;6;1609;COc1ccc(cc1S(=O)(=O)NC1CCCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.6;350.13;2.34;1;6;81.43;4;2;0.47;0;0.32;3.26;22136469
7;7;1610;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CCCCC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.7;348.15;3.46;1;5;72.2;3;2;0.5;0;0.33;2.24;22136469
8;8;1611;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)Nc1ccccc1;BRD4;O60885;Fluorescence Polarization;pIC50;5.6;342.1;3.32;1;5;72.2;3;3;0.17;0;0.32;2.28;22136469
9;9;1612;COc1ccc(cc1S(=O)(=O)Nc1ccccc1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.2;358.1;2.65;1;6;81.43;4;3;0.17;0;0.28;2.55;22136469
10;10;1613;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)Nc1ccccc1Cl;BRD4;O60885;Fluorescence Polarization;pIC50;5.3;376.06;3.92;1;5;72.2;3;3;0.17;0;0.29;1.38;22136469
11;11;1614;COc1ccc(cc1S(=O)(=O)Nc1ccccc1Cl)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.0;392.06;3.25;1;6;81.43;4;3;0.17;0;0.26;1.75;22136469
12;12;1615;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)Nc1cccc(Cl)c1;BRD4;O60885;Fluorescence Polarization;pIC50;5.3;376.06;3.92;1;5;72.2;3;3;0.17;0;0.29;1.38;22136469
13;13;1616;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)Nc1ccc(Cl)cc1;BRD4;O60885;Fluorescence Polarization;pIC50;4.9;376.06;3.92;1;5;72.2;3;3;0.17;0;0.27;0.98;22136469
14;14;1617;COc1ccccc1NS(=O)(=O)c1cc(ccc1C)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.3;372.11;3.16;1;6;81.43;4;3;0.21;0;0.28;2.14;22136469
15;15;1618;COc1ccccc1NS(=O)(=O)c1cc(ccc1OC)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;4.8;388.11;2.49;1;7;90.66;5;3;0.21;0;0.24;2.31;22136469
16;16;1619;COc1cccc(NS(=O)(=O)c2cc(ccc2C)-c2c(C)noc2C)c1;BRD4;O60885;Fluorescence Polarization;pIC50;5.2;372.11;3.16;1;6;81.43;4;3;0.21;0;0.27;2.04;22136469
17;17;1620;COc1cccc(NS(=O)(=O)c2cc(ccc2OC)-c2c(C)noc2C)c1;BRD4;O60885;Fluorescence Polarization;pIC50;4.8;388.11;2.49;1;7;90.66;5;3;0.21;0;0.24;2.31;22136469
18;18;1621;COc1ccc(NS(=O)(=O)c2cc(ccc2C)-c2c(C)noc2C)cc1;BRD4;O60885;Fluorescence Polarization;pIC50;4.9;372.11;3.16;1;6;81.43;4;3;0.21;0;0.26;1.74;22136469
19;19;1623;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCc1ccccc1;BRD4;O60885;Fluorescence Polarization;pIC50;4.9;356.12;3.38;1;5;72.2;4;3;0.21;0;0.27;1.52;22136469
20;20;1624;COc1ccc(cc1S(=O)(=O)NCc1ccccc1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;4.5;372.11;2.71;1;6;81.43;5;3;0.21;0;0.24;1.79;22136469
21;21;1625;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCCc1ccccc1;BRD4;O60885;Fluorescence Polarization;pIC50;5.0;370.14;3.67;1;5;72.2;5;3;0.25;0;0.26;1.33;22136469
22;22;1626;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCCCc1ccccc1;BRD4;O60885;Fluorescence Polarization;pIC50;5.1;384.15;4.12;1;5;72.2;6;3;0.29;0;0.26;0.98;22136469
23;23;1627;COCCNS(=O)(=O)c1cc(ccc1C)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;4.7;324.11;1.61;1;6;81.43;5;2;0.4;0;0.29;3.09;22136469
24;24;1628;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCCCO;BRD4;O60885;Fluorescence Polarization;pIC50;5.1;324.11;1.03;2;6;92.43;5;2;0.4;0;0.32;4.07;22136469
25;25;1629;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC(C)(C)C;BRD4;O60885;Fluorescence Polarization;pIC50;5.5;322.14;2.71;1;5;72.2;3;2;0.44;0;0.34;2.79;22136469
26;26;1630;Cc1noc(C)c1-c1ccc(C)c(c1)S(N)(=O)=O;BRD4;O60885;Fluorescence Polarization;pIC50;4.7;266.07;1.44;2;5;86.19;2;2;0.25;0;0.36;3.26;22136469
27;27;1631;CCNS(=O)(=O)c1cc(ccc1C)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.4;294.1;2.02;1;5;72.2;3;2;0.36;0;0.37;3.38;22136469
28;28;1632;COc1ccc(cc1S(=O)(=O)N(C)C1CCCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.7;364.15;2.57;0;6;72.64;4;2;0.5;0;0.31;3.13;22136469
29;29;1633;CCN(C1CCCC1)S(=O)(=O)c1cc(ccc1OC)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.8;378.16;2.92;0;6;72.64;5;2;0.53;0;0.31;2.88;22136469
30;30;1634;COc1ccc(cc1S(=O)(=O)N1CCCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.5;336.11;1.62;0;6;72.64;3;2;0.44;0;0.33;3.88;22136469
31;31;1635;COc1ccc(cc1S(=O)(=O)N1CCCCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.8;350.13;2.06;0;6;72.64;3;2;0.47;0;0.33;3.74;22136469
32;32;1636;COc1ccc(cc1S(=O)(=O)N1CCNCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;4.6;351.13;0.68;1;7;84.67;3;2;0.44;0;0.26;3.92;22136469
33;33;1638;COc1ccc(cc1S(=O)(=O)N1CCOCC1)-c1c(C)noc1C;BRD4;O60885;Fluorescence Polarization;pIC50;5.0;352.11;0.99;0;7;81.87;3;2;0.44;0;0.29;4.01;22136469
34;34;1639;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)N1CCOCC1;BRD4;O60885;Fluorescence Polarization;pIC50;4.7;336.11;1.66;0;6;72.64;2;2;0.44;0;0.28;3.04;22136469
35;35;1642;Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)N[C@@H]1CCCNC1;BRD4;O60885;Fluorescence Polarization;pIC50;4.5;349.15;1.55;2;6;84.23;3;2;0.47;1;0.26;2.95;22136469
36;36;1644;Cc1noc(C)c1-c1cccc(c1)S(=O)(=O)NC1CC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.2;292.09;1.61;1;5;72.2;3;2;0.36;0;0.36;3.59;22136469
37;37;1645;Cc1noc(C)c1-c1cccc(c1)S(=O)(=O)NC1CCCC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.5;320.12;2.5;1;5;72.2;3;2;0.44;0;0.34;3.0;22136469
38;38;1646;Cc1noc(C)c1-c1ccc(OCCN2CCNCC2)c(c1)S(=O)(=O)NC1CCCC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.2;448.21;1.31;2;8;96.7;7;2;0.59;0;0.23;3.89;22136469
39;39;1647;Cc1noc(C)c1-c1ccc(OCCCN2CCOCC2)c(c1)S(=O)(=O)NC1CCCC1;BRD4;O60885;Fluorescence Polarization;pIC50;5.5;463.21;2.2;1;8;93.9;8;2;0.61;0;0.24;3.3;22136469
